Entreprise,Attribut 1,Attribut 2,Attribut 3,Attribut 4,Attribut 5,Attribut 6,Attribut 7,Attribut 8,Attribut 9,Attribut 10,Score d'apétence
Entreprise 7,8.67112982521987,7.31760970720954,7,3,7,4995,9276,6277,HELLO 5,SALUT 9,0.991797452302005
Entreprise 1265,3.32849164247192,0.859599569329201,4,6,5,573,9938,3179,HELLO 3,SALUT 0,0.991716835356377
Entreprise 1276,9.24177558757196,2.74792869963547,4,10,9,7116,2039,8047,HELLO 10,SALUT 6,0.991609195897497
Entreprise 876,4.96261740713163,9.52998586326597,5,1,7,535,2881,5597,HELLO 7,SALUT 3,0.99149601296471
Entreprise 149,9.60550579839484,4.37181037208718,3,9,9,7460,4122,4022,HELLO 5,SALUT 3,0.991188455519048
Entreprise 457,1.46816928238412,5.86238449662852,8,9,7,9709,4721,2867,HELLO 1,SALUT 8,0.990104603640722
Entreprise 591,0.584577115728343,5.03507537400136,7,10,8,7351,9536,547,HELLO 3,SALUT 8,0.989910560691419
Entreprise 102,3.83008868799672,4.70666853473866,9,1,3,4666,8356,4308,HELLO 0,SALUT 3,0.989488820849664
Entreprise 92,4.36638589492359,3.01897060912272,9,4,5,14,7182,5243,HELLO 0,SALUT 9,0.989427104453878
Entreprise 161,8.1503594135825,1.79061045270096,6,0,4,5259,6879,5475,HELLO 3,SALUT 8,0.989370346920743
Entreprise 1103,4.74429330109275,3.30657644938275,1,8,5,4505,6457,5101,HELLO 5,SALUT 7,0.98905292558423
Entreprise 520,2.68849967288157,1.26435324685045,8,3,3,2550,6663,6450,HELLO 6,SALUT 2,0.988184389814519
Entreprise 1079,2.59238200388165,2.8392974495088,3,1,7,108,5081,826,HELLO 9,SALUT 8,0.988174396839695
Entreprise 884,8.40632025670799,9.07469558980605,7,8,1,5299,5971,2119,HELLO 9,SALUT 0,0.987759860575698
Entreprise 9,2.40561066018894,3.99088437539687,5,10,7,1837,6655,9619,HELLO 0,SALUT 8,0.987717126495045
Entreprise 1551,4.29398516029006,0.792265079648257,7,5,5,8858,5784,853,HELLO 9,SALUT 2,0.987253883694852
Entreprise 683,3.82278608054157,8.07359627925684,8,4,9,1547,1274,817,HELLO 10,SALUT 9,0.986565272103534
Entreprise 1529,7.03218330763396,3.86053529958229,1,10,1,8916,343,8366,HELLO 2,SALUT 8,0.985816964888199
Entreprise 435,2.95747168883454,9.05887969240231,6,0,7,9102,2009,243,HELLO 5,SALUT 7,0.985094280348123
Entreprise 744,5.15771307418835,0.955586063427851,4,5,3,8764,5298,4784,HELLO 1,SALUT 3,0.98474767916378
Entreprise 622,2.22446832049171,8.63012746295512,3,1,10,1848,1775,3159,HELLO 5,SALUT 5,0.983280012244456
Entreprise 1061,1.56234053528159,7.74491711028612,4,1,3,3466,2350,5455,HELLO 10,SALUT 7,0.983197665241655
Entreprise 1023,9.74876132639898,8.83497169954687,0,4,8,17,8255,8831,HELLO 6,SALUT 3,0.982875430540035
Entreprise 675,4.02413492707444,5.16697708569691,5,0,7,8369,9757,5026,HELLO 4,SALUT 10,0.982794182108702
Entreprise 713,1.60942083377621,2.33987086055056,9,0,4,8272,8636,4436,HELLO 9,SALUT 4,0.982519451137898
Entreprise 1371,6.12818441053465,5.16431961385831,5,0,9,6160,3834,9178,HELLO 0,SALUT 9,0.982076961341145
Entreprise 1147,3.05463699789392,3.21287106342943,9,0,9,1646,5666,5821,HELLO 2,SALUT 9,0.981778770742005
Entreprise 23,4.40729314684515,0.399127376986254,10,4,2,4079,2011,3479,HELLO 4,SALUT 1,0.980738813472616
Entreprise 819,4.04652194250209,1.78304664359289,8,10,8,6525,9303,1871,HELLO 6,SALUT 9,0.980323160848616
Entreprise 66,6.86464436671279,1.17254236930066,10,9,0,6881,2874,501,HELLO 6,SALUT 8,0.980049043553324
Entreprise 669,5.87648317956529,9.23339560378969,9,8,5,7391,6891,8948,HELLO 7,SALUT 4,0.978439649040266
Entreprise 246,1.7560259630035,0.130881706494017,8,2,3,7122,6953,618,HELLO 2,SALUT 6,0.977975574640602
Entreprise 231,2.92235271183147,5.02303910227606,7,1,3,9135,3020,5046,HELLO 9,SALUT 0,0.977208889356426
Entreprise 1126,1.51514654510251,4.78289288868759,4,3,2,6942,2070,5653,HELLO 9,SALUT 1,0.977104001930053
Entreprise 703,0.287284873226396,2.75908389226804,7,3,2,6658,8534,3331,HELLO 9,SALUT 5,0.975323065400661
Entreprise 254,8.4236906490132,7.91596835847594,5,8,1,4841,3190,2495,HELLO 1,SALUT 4,0.975314309189647
Entreprise 1172,4.46912112121697,7.12602502131621,8,3,9,3704,3465,7568,HELLO 0,SALUT 3,0.972418362889577
Entreprise 20,7.54566234396497,8.52872253525316,7,3,7,2937,6244,5808,HELLO 2,SALUT 9,0.972140329086575
Entreprise 1152,5.02993502559557,4.37545286690642,2,6,0,6191,3344,9048,HELLO 10,SALUT 4,0.970904003608336
Entreprise 1465,3.78669380108925,3.1518882693467,2,4,3,4286,5496,9854,HELLO 2,SALUT 10,0.970443235909537
Entreprise 1434,4.91454760158521,1.22458182864657,5,9,9,9174,6012,5047,HELLO 6,SALUT 5,0.970258870633771
Entreprise 1045,6.8891633064433,8.17432060884333,4,3,6,9701,1405,1745,HELLO 2,SALUT 4,0.969819333452911
Entreprise 1519,8.3339145949482,3.60582636514951,9,10,0,3286,9720,9076,HELLO 5,SALUT 5,0.96948386206755
Entreprise 1242,9.59656049430293,3.90211804596949,6,2,3,819,6853,7465,HELLO 7,SALUT 8,0.968635148451949
Entreprise 694,6.8971639552095,2.25140436807877,2,7,6,4040,5552,5494,HELLO 6,SALUT 10,0.968025202886971
Entreprise 887,7.11908693479587,7.84586602310923,7,6,2,2251,7796,9324,HELLO 8,SALUT 4,0.967931219708933
Entreprise 551,4.36284360671149,5.1350033603767,0,8,5,5405,2808,8989,HELLO 10,SALUT 8,0.967530745686331
Entreprise 1215,3.41133867239176,0.894366261132035,7,4,10,2199,7654,6825,HELLO 7,SALUT 0,0.967292583398914
Entreprise 702,8.26758518122713,7.88703709263862,4,3,8,932,8884,6488,HELLO 5,SALUT 5,0.966745733077948
Entreprise 776,8.74976584173407,1.41753095973521,1,1,9,9200,9075,6568,HELLO 1,SALUT 2,0.966578666134991
Entreprise 321,0.910153196056913,1.16834381154315,1,1,5,8109,2899,7351,HELLO 2,SALUT 7,0.965951666264504
Entreprise 265,4.10744285873047,6.75871335706866,6,10,8,9585,6654,5819,HELLO 9,SALUT 8,0.964040833072977
Entreprise 281,5.69833126754641,4.57487624657684,3,9,5,2518,9806,8516,HELLO 8,SALUT 3,0.963995831331477
Entreprise 1123,9.0571599004945,3.21539049924466,9,0,6,5442,6132,3004,HELLO 8,SALUT 4,0.963646361649812
Entreprise 993,0.1051050072752,0.841953553687531,0,6,1,5729,8632,3995,HELLO 2,SALUT 3,0.963090470536635
Entreprise 922,3.73534562366097,9.77504263890127,6,7,9,7057,9483,3928,HELLO 2,SALUT 2,0.962328141517585
Entreprise 1575,6.87508222445849,5.83547532600163,7,8,9,1006,1822,9032,HELLO 1,SALUT 8,0.962067093288907
Entreprise 1204,6.3026634395019,4.61230750543288,3,1,7,1537,7594,8553,HELLO 7,SALUT 7,0.96146256459571
Entreprise 1241,0.532211652602717,4.18074030803571,8,2,8,5726,8750,5389,HELLO 2,SALUT 9,0.960992865950828
Entreprise 1417,7.05810922794967,2.95681271046505,10,1,9,5705,7565,7608,HELLO 7,SALUT 7,0.960560405084884
Entreprise 259,0.333514832900381,8.83158202916668,10,0,3,5371,3241,2175,HELLO 5,SALUT 1,0.959842567016065
Entreprise 492,3.64759147410958,0.329922876267618,9,1,8,5018,6537,7572,HELLO 10,SALUT 10,0.959294514849917
Entreprise 637,6.73980508195829,9.9384830302787,9,5,2,5227,4348,1467,HELLO 2,SALUT 2,0.959270440457862
Entreprise 597,8.33986084628197,4.15814830504042,1,9,5,6233,2940,427,HELLO 5,SALUT 6,0.959032511767932
Entreprise 1410,0.374440563851598,9.77777269361042,8,7,1,7689,6428,9380,HELLO 5,SALUT 3,0.95902114615683
Entreprise 741,7.05838150058233,3.8219941762416,4,7,1,1387,4698,5159,HELLO 3,SALUT 5,0.95871657054935
Entreprise 636,2.56541169513583,2.42712448091149,6,7,3,5461,8026,2732,HELLO 5,SALUT 8,0.956825873005492
Entreprise 668,6.05009853895613,8.86814937562969,1,9,6,9972,8691,3116,HELLO 9,SALUT 6,0.956565544354745
Entreprise 1157,6.18568519034069,2.1485434758751,3,7,7,247,4229,9137,HELLO 10,SALUT 5,0.956229899753958
Entreprise 44,8.69343284240117,2.59756243280861,9,4,7,6303,8402,533,HELLO 4,SALUT 2,0.953272588390466
Entreprise 249,1.62883417300752,3.9432360485338,4,6,2,7620,4891,6587,HELLO 7,SALUT 8,0.951412633089843
Entreprise 532,2.19522266184804,4.04056449720153,2,6,4,3493,2013,7966,HELLO 2,SALUT 8,0.949527126258175
Entreprise 949,3.53414960459758,4.81820309276191,2,9,5,8036,4205,6419,HELLO 5,SALUT 1,0.948946134794162
Entreprise 258,8.03725732593539,1.33251785229847,4,4,8,4951,4170,4086,HELLO 1,SALUT 4,0.946678065542766
Entreprise 1577,6.38282965621992,0.259998306159006,6,7,2,3259,7958,9570,HELLO 4,SALUT 1,0.94638330624135
Entreprise 111,2.57277201928159,9.46901531208631,5,7,0,2463,5879,6304,HELLO 5,SALUT 1,0.946355297823077
Entreprise 1335,7.99469971364967,7.39451367152145,2,1,4,2788,6221,5082,HELLO 0,SALUT 9,0.94386986977434
Entreprise 1104,5.89125771568161,2.72610869538238,9,3,10,977,4620,6603,HELLO 5,SALUT 2,0.943843414296191
Entreprise 1068,8.39687956879576,5.93948698623978,8,4,2,9716,8416,4862,HELLO 0,SALUT 6,0.943810971287428
Entreprise 1494,5.20254058600977,9.04438985611521,8,8,8,1832,3862,8791,HELLO 2,SALUT 7,0.943767864394592
Entreprise 1422,6.2794834897668,0.835575792796289,3,4,8,2350,9660,8045,HELLO 8,SALUT 2,0.943495059566607
Entreprise 942,1.91898100728098,1.00069379904819,5,9,6,2136,1377,1752,HELLO 2,SALUT 5,0.941415394784059
Entreprise 499,8.29185673053035,8.86818650165795,6,9,6,7124,1755,4141,HELLO 8,SALUT 7,0.940084193549157
Entreprise 118,1.4131281554636,4.22383010143112,4,0,8,3960,3111,7803,HELLO 7,SALUT 0,0.939977025840086
Entreprise 1436,3.36297877495674,6.42041753544945,3,0,6,1888,7189,3478,HELLO 9,SALUT 2,0.939383167402452
Entreprise 670,5.6997367303262,1.60898727474414,2,5,8,2034,8128,4933,HELLO 1,SALUT 10,0.938963525309161
Entreprise 893,9.15506691933058,7.98200660604074,7,8,3,7748,3347,4227,HELLO 10,SALUT 3,0.938454184995331
Entreprise 1037,8.45660923419197,4.222772136463,4,7,8,5101,1603,4224,HELLO 5,SALUT 2,0.938145942185767
Entreprise 1054,5.27488030876313,8.69614562532082,8,1,1,407,9153,9886,HELLO 4,SALUT 6,0.936316234721046
Entreprise 266,4.45194532274761,3.36947705314807,8,0,2,8434,9466,4938,HELLO 1,SALUT 4,0.935184872464598
Entreprise 1385,6.52292814413499,2.32838189618705,6,2,4,3721,4329,8195,HELLO 4,SALUT 3,0.934955276383038
Entreprise 913,2.96458714464923,2.7859477952927,2,8,4,4476,9601,8255,HELLO 0,SALUT 9,0.934144346981643
Entreprise 650,4.26059128156012,7.35327479009784,1,7,2,1300,1418,7448,HELLO 1,SALUT 9,0.933454346377171
Entreprise 120,3.00781609715868,7.60288362658267,3,10,7,9823,9240,376,HELLO 3,SALUT 9,0.93329329633144
Entreprise 1537,5.60497201063092,8.94440559286498,7,9,0,4456,2985,7652,HELLO 4,SALUT 5,0.933115482106315
Entreprise 986,0.628541201802729,8.68468378256533,9,5,3,3563,722,3016,HELLO 4,SALUT 7,0.93168121927666
Entreprise 1159,3.10417273728231,0.523856220034666,7,0,7,6765,7982,6924,HELLO 3,SALUT 4,0.931269745800157
Entreprise 1034,1.79457109965937,0.658441087465792,1,1,2,456,2434,3635,HELLO 10,SALUT 9,0.93099704326718
Entreprise 1274,3.36636743930414,1.68387326536422,8,7,8,4298,6601,9387,HELLO 4,SALUT 7,0.930733092144291
Entreprise 522,7.10430830166232,9.61625937302401,1,1,7,1211,2895,4581,HELLO 3,SALUT 5,0.930681956531803
Entreprise 58,4.12875596659234,6.51067045737753,8,1,8,678,9337,5894,HELLO 2,SALUT 7,0.930554950930003
Entreprise 1018,4.48098235393362,0.332726515479765,8,2,10,8351,673,5296,HELLO 6,SALUT 1,0.930224828038554
Entreprise 39,0.391988283439324,9.24210858714959,10,8,6,2896,8625,3848,HELLO 2,SALUT 9,0.929702045114582
Entreprise 589,4.189657752066,4.29195809973424,8,3,3,5093,8979,8722,HELLO 8,SALUT 3,0.92937392443309
Entreprise 1196,7.04606587272188,5.22578368946906,10,7,7,8425,2999,2076,HELLO 3,SALUT 4,0.928887503783655
Entreprise 1538,4.11731264120757,7.46667777411962,2,1,4,300,5527,2837,HELLO 6,SALUT 4,0.928761573285997
Entreprise 1592,4.60193911563545,3.92960793984679,1,1,4,7278,6909,9117,HELLO 10,SALUT 10,0.927983517982922
Entreprise 1311,2.22661705296686,1.37349618173567,9,4,3,9530,5805,4062,HELLO 1,SALUT 1,0.925973093298281
Entreprise 313,9.06400736491051,2.68226383032583,6,3,4,5338,6746,3330,HELLO 5,SALUT 4,0.923880596217159
Entreprise 87,2.66188732825633,7.0858275309331,0,1,2,8034,9982,4127,HELLO 7,SALUT 6,0.923795251460704
Entreprise 1043,5.54870073390316,9.10651280091359,8,6,3,3270,9423,1712,HELLO 9,SALUT 9,0.922550622503632
Entreprise 478,3.18935541813004,6.73823948376644,1,5,0,8762,7658,2413,HELLO 1,SALUT 2,0.922488610922942
Entreprise 155,7.93032494127788,9.10851457331242,9,5,4,7954,3163,6148,HELLO 4,SALUT 4,0.922003472446258
Entreprise 251,3.4893692509492,1.11720983100666,2,10,2,7771,3285,9951,HELLO 5,SALUT 8,0.919668912065281
Entreprise 1412,2.62048158045737,3.43806095192764,6,0,10,2391,8166,6846,HELLO 8,SALUT 9,0.91767721390949
Entreprise 836,0.466816932478006,2.64556295433746,4,8,3,1517,1380,5336,HELLO 0,SALUT 7,0.917084536094657
Entreprise 325,6.16586030832279,0.792118852653633,5,9,9,1246,3362,1566,HELLO 2,SALUT 9,0.915476236991279
Entreprise 968,7.72614348529912,7.72058917125544,4,2,10,6662,8892,4707,HELLO 9,SALUT 1,0.915177769057031
Entreprise 1554,8.97914387048457,3.97289834551732,4,0,10,6329,1721,8755,HELLO 3,SALUT 1,0.913435681959784
Entreprise 131,6.40547727122769,6.37415032257617,10,1,4,8143,8130,8747,HELLO 1,SALUT 6,0.911367489452483
Entreprise 1391,6.41385694058447,4.09829631349302,3,8,1,612,2120,5297,HELLO 2,SALUT 8,0.911094498597955
Entreprise 1366,8.45973545642925,1.00934001013735,1,4,5,9608,3918,5950,HELLO 3,SALUT 7,0.910295730644332
Entreprise 553,9.05207079810615,2.30211788842869,9,4,6,7918,9125,9866,HELLO 5,SALUT 8,0.909125292957937
Entreprise 850,1.57101162835853,0.92803883121104,5,1,2,144,6928,6678,HELLO 9,SALUT 10,0.908744999501691
Entreprise 1466,1.92555148701771,8.60327358536093,3,8,4,6070,9842,188,HELLO 2,SALUT 6,0.908526561903734
Entreprise 205,2.70183644757775,5.44828994265556,8,3,8,1805,6197,4678,HELLO 1,SALUT 7,0.907139825422351
Entreprise 1249,7.94014224797943,3.32053332371082,3,9,4,9509,9314,7770,HELLO 5,SALUT 5,0.90644980205335
Entreprise 1429,5.45434032584221,8.20615092125824,7,3,4,4920,730,8198,HELLO 7,SALUT 7,0.905366832715216
Entreprise 1243,4.97381892944977,3.98630641041874,5,7,6,6561,5713,7899,HELLO 7,SALUT 8,0.903043557853768
Entreprise 1026,3.59858752095575,8.7951896396495,9,8,0,6636,3912,7620,HELLO 9,SALUT 2,0.901615403885617
Entreprise 344,1.82810495415025,1.05805549724154,2,2,9,9091,850,7294,HELLO 9,SALUT 1,0.901515255103481
Entreprise 146,6.12694144858386,2.08470703412161,2,3,10,6705,4771,6902,HELLO 2,SALUT 10,0.90115605938231
Entreprise 888,1.53226753773271,1.4693856884439,7,2,6,4485,518,4862,HELLO 3,SALUT 6,0.901101031862208
Entreprise 617,5.28064921905488,0.243178528772101,2,9,9,2371,7102,2236,HELLO 2,SALUT 4,0.900401603711916
Entreprise 185,2.66313269845951,9.25554915956783,5,1,3,781,2738,2672,HELLO 8,SALUT 4,0.899480537070444
Entreprise 419,8.82096995455631,8.55484058906627,3,2,6,5272,4869,9287,HELLO 7,SALUT 7,0.897360588288538
Entreprise 848,9.89605462443626,3.35034822426169,8,6,3,6611,8447,1383,HELLO 7,SALUT 6,0.895810586914463
Entreprise 1004,5.05562345457572,9.03016367317336,6,1,5,3428,7179,935,HELLO 5,SALUT 8,0.894910928980843
Entreprise 1088,2.79936457356327,6.97178286988427,3,0,1,6780,7254,2509,HELLO 7,SALUT 6,0.894407564998351
Entreprise 748,0.77299459412532,5.71452081211205,7,1,8,5833,654,4370,HELLO 2,SALUT 5,0.894105663707053
Entreprise 530,7.66106548248503,2.80586322140421,5,7,10,3074,2497,8261,HELLO 2,SALUT 4,0.893694725495772
Entreprise 21,5.28478249609841,1.24764976555584,7,7,10,4471,1273,830,HELLO 9,SALUT 4,0.893671408226577
Entreprise 103,8.44419354319001,7.79040822547868,8,8,5,1730,4471,1543,HELLO 7,SALUT 1,0.893018553424915
Entreprise 2,9.55700129757595,9.38590248059139,6,1,5,1599,3387,1810,HELLO 4,SALUT 6,0.892533776100101
Entreprise 253,9.73503161677029,5.1124856722678,5,8,3,6239,6091,1194,HELLO 2,SALUT 5,0.892480853408543
Entreprise 511,2.59138932549711,1.71654765132206,1,8,4,3951,5790,4969,HELLO 5,SALUT 3,0.892302925377157
Entreprise 382,9.16147683514595,3.79814921349823,2,8,6,2956,3869,5753,HELLO 1,SALUT 2,0.892192841895812
Entreprise 1398,7.77187968637463,0.458302806187652,4,8,9,6773,7063,4130,HELLO 7,SALUT 0,0.891956713605831
Entreprise 1283,7.27726593268131,9.31108936594532,2,3,10,1453,3628,5320,HELLO 8,SALUT 1,0.891206189357387
Entreprise 1461,7.80404339510958,8.0214728782536,8,6,5,3022,8183,3973,HELLO 8,SALUT 2,0.890607663647474
Entreprise 777,1.57566885275914,9.15218697380919,2,5,5,1853,683,4600,HELLO 7,SALUT 6,0.890449134421986
Entreprise 38,6.29573243154218,8.06537471445724,6,5,8,548,3678,8864,HELLO 2,SALUT 1,0.889739984133779
Entreprise 317,1.24948213491258,4.29668847176823,8,4,7,53,9197,2887,HELLO 5,SALUT 9,0.889658582705207
Entreprise 1214,3.45999446707957,8.56081639047314,0,3,4,3391,2608,851,HELLO 8,SALUT 8,0.889624871525627
Entreprise 540,0.323162577570612,5.2715304643606,7,1,9,8489,5490,2732,HELLO 8,SALUT 8,0.888176998997149
Entreprise 282,1.65051167063396,9.84344915965735,9,1,3,1331,5237,1775,HELLO 9,SALUT 4,0.887903248931665
Entreprise 1486,9.0931783893945,5.99727175523652,3,2,5,443,907,6684,HELLO 9,SALUT 4,0.887751344574458
Entreprise 1493,6.6341715575785,4.99794619027541,8,6,1,8994,4281,7124,HELLO 7,SALUT 4,0.884647091918342
Entreprise 812,6.27741824042742,7.55127683633056,8,4,2,7812,5924,5523,HELLO 10,SALUT 8,0.88348192841626
Entreprise 319,1.95006481840534,2.27655696422076,6,7,8,7885,6513,9829,HELLO 4,SALUT 1,0.882589475230402
Entreprise 875,1.50093955687188,5.18360367783957,10,5,8,2426,2797,8775,HELLO 10,SALUT 1,0.881607802967138
Entreprise 1456,6.31587078701671,2.51280724638495,9,6,8,4868,8862,1411,HELLO 5,SALUT 9,0.881345265113491
Entreprise 854,3.62640675624099,9.61449556574069,3,7,4,6441,8697,1061,HELLO 9,SALUT 8,0.881224869942438
Entreprise 285,0.6261925752658,7.76949826224499,6,8,2,1496,9685,3156,HELLO 2,SALUT 7,0.880960424524266
Entreprise 1376,7.96213105856336,6.2755853976948,7,8,3,421,260,2665,HELLO 9,SALUT 9,0.880904248485274
Entreprise 78,1.73852491050794,3.07390526385058,7,0,2,1982,9048,4499,HELLO 3,SALUT 0,0.880560025362357
Entreprise 673,0.379359166878033,4.35808525454926,7,6,10,1002,3327,5138,HELLO 0,SALUT 5,0.88008043049786
Entreprise 1597,2.67629386772333,2.35693833273219,1,3,4,8347,7261,1109,HELLO 4,SALUT 8,0.880078427918278
Entreprise 1578,8.03491016746944,2.10530405798894,4,8,3,9570,3135,3937,HELLO 2,SALUT 2,0.878966489176448
Entreprise 487,3.52151273901519,3.25515299858702,1,1,1,7729,6328,9189,HELLO 2,SALUT 3,0.877854961304074
Entreprise 1330,3.59907859975308,5.5321568511304,7,2,3,9870,5688,3649,HELLO 3,SALUT 1,0.877658203328644
Entreprise 244,2.16065059891631,3.58696339620042,5,7,8,2539,6429,6753,HELLO 5,SALUT 8,0.876945383539916
Entreprise 1442,6.21959247057214,9.87174858056261,2,2,6,8170,1958,1270,HELLO 7,SALUT 3,0.876636789014857
Entreprise 1209,2.58802322679421,1.30003610100036,3,5,4,4860,8309,5205,HELLO 9,SALUT 6,0.876540148005633
Entreprise 1063,8.99027184123916,5.99126065258845,6,4,1,9462,5616,1015,HELLO 6,SALUT 6,0.876446042023324
Entreprise 1327,6.36196979340304,1.94125625482327,7,4,4,5727,5067,1933,HELLO 0,SALUT 7,0.873854304389265
Entreprise 1393,1.64011901504039,7.74889853840101,5,9,9,1645,5691,3422,HELLO 3,SALUT 4,0.873315339985287
Entreprise 152,9.64101954407608,7.61668418470844,7,1,10,3344,4955,5045,HELLO 9,SALUT 4,0.872904353788996
Entreprise 519,6.23205511040299,7.84210296731064,3,5,1,9505,6592,5760,HELLO 6,SALUT 6,0.871287498847119
Entreprise 989,3.90989187887858,8.49959553070787,9,4,9,197,1476,3624,HELLO 4,SALUT 4,0.870669721842463
Entreprise 310,5.55047170854642,3.75205248796467,2,3,4,2361,6981,1580,HELLO 2,SALUT 3,0.870130225386286
Entreprise 719,1.33820271436175,1.92583013526165,7,5,2,6323,1025,7772,HELLO 2,SALUT 3,0.870064169249461
Entreprise 722,3.98761999501924,3.61274508652732,8,1,4,303,6173,7462,HELLO 9,SALUT 4,0.869917309774943
Entreprise 1415,4.05754135635413,5.46711381549934,9,9,8,428,1517,3976,HELLO 5,SALUT 5,0.869896052290698
Entreprise 964,0.168510431336925,1.74767506042047,3,6,4,8564,5144,7024,HELLO 8,SALUT 3,0.869680035962364
Entreprise 810,5.3009134766399,1.8563027290826,2,9,6,5647,9988,4582,HELLO 1,SALUT 2,0.868543855621264
Entreprise 1211,3.0358125993934,0.0932035396694553,4,1,1,9869,9497,1461,HELLO 8,SALUT 6,0.868456654879548
Entreprise 799,1.13340453591382,6.99016877550302,1,3,4,276,4074,7538,HELLO 0,SALUT 1,0.868286335829924
Entreprise 345,7.88530129302828,7.02806981148442,1,7,0,5033,1049,1691,HELLO 3,SALUT 9,0.86828609860934
Entreprise 226,8.33419852989468,2.44291260866617,1,2,5,7658,7176,7944,HELLO 0,SALUT 8,0.867275504003101
Entreprise 1213,3.24359262845188,8.78185022304418,9,4,1,7814,5956,9669,HELLO 4,SALUT 0,0.866687402838758
Entreprise 232,4.10614669872068,5.73385043912722,1,6,10,8262,8882,4563,HELLO 1,SALUT 1,0.866644993969724
Entreprise 143,9.40069954965268,1.85765919285022,6,0,4,7143,8487,5288,HELLO 5,SALUT 1,0.866300596265036
Entreprise 1374,2.10236094092978,0.215749302215933,5,3,3,2900,4385,2990,HELLO 6,SALUT 1,0.864807856274208
Entreprise 496,5.54261698675927,5.90816396903549,7,8,0,2086,4940,3263,HELLO 10,SALUT 7,0.864806605107224
Entreprise 692,6.03599692483832,2.64659842391368,10,9,5,6553,8646,9851,HELLO 9,SALUT 9,0.863297125763267
Entreprise 716,2.11277418526435,7.64629237458016,8,5,9,8887,8346,1448,HELLO 3,SALUT 3,0.862825191076825
Entreprise 1447,4.70559338268239,0.404095960254736,9,10,6,5322,4950,8774,HELLO 0,SALUT 4,0.862438653157743
Entreprise 821,3.49277680965269,9.49843650232018,5,5,7,2158,411,2995,HELLO 9,SALUT 0,0.862252753368873
Entreprise 392,7.73400287571654,6.91283700306958,6,1,7,1270,6086,131,HELLO 1,SALUT 5,0.861956666150034
Entreprise 182,0.562040136432519,3.44111697737639,8,6,7,4402,4842,6749,HELLO 4,SALUT 1,0.861494681311331
Entreprise 1122,1.99076669194669,5.39001360280413,8,9,4,6898,646,6645,HELLO 1,SALUT 2,0.861352838742797
Entreprise 898,0.512119056368165,8.44277616301537,5,9,6,5950,649,4034,HELLO 5,SALUT 4,0.861313826373959
Entreprise 1555,6.23319701797124,6.00698489718078,4,3,8,1823,6164,7108,HELLO 3,SALUT 6,0.861225735705164
Entreprise 235,4.30819308366461,9.02944700747333,4,9,4,7412,456,5490,HELLO 2,SALUT 2,0.859556556591923
Entreprise 919,7.99652901758074,7.36639201939734,2,5,5,6987,7036,1220,HELLO 10,SALUT 7,0.858906437109224
